Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
BMW,BMW X3,2015,256 000 km,1 995 cm3,Diesel,17 000
BMW,BMW X3 xDrive20d,2019,124 263 km,1 995 cm3,Diesel,30 850
BMW,BMW 4,2018,119 300 km,2 998 cm3,Benzina,38 490
BMW,BMW 3,2021,60 000 km,1 995 cm3,Diesel,24 990
BMW,BMW 3,2009,235 000 km,1 995 cm3,Diesel,7 000
BMW,BMW X1 xDrive20d,2015,162 000 km,1 995 cm3,Diesel,12 790
BMW,BMW X4 xDrive20d,2015,233 669 km,1 995 cm3,Diesel,22 489
BMW,BMW 3,2023,26 034 km,1 998 cm3,Benzina,44 329
BMW,BMW X3 xDrive20d,2019,150 500 km,1 995 cm3,Diesel,27 900
BMW,BMW X6 xDrive40i,2020,142 000 km,2 998 cm3,Benzina,62 990
BMW,BMW M2 AT,2023,10 km,2 993 cm3,Benzina,83 181
BMW,BMW X6 xDrive30d,2017,128 510 km,2 993 cm3,Diesel,36 000
BMW,BMW 5,2016,167 200 km,1 995 cm3,Diesel,16 990
BMW,BMW X3 xDrive20d,2017,195 050 km,1 995 cm3,Diesel,16 990
BMW,BMW 3,2020,53 000 km,1 995 cm3,Diesel,32 844
BMW,BMW 2,2020,69 100 km,1 995 cm3,Diesel,32 130
BMW,BMW X4,2015,161 000 km,1 995 cm3,Diesel,23 681
BMW,BMW 3,2019,75 000 km,1 995 cm3,Diesel,30 000
BMW,BMW 7,2017,147 800 km,2 993 cm3,Diesel,36 500
BMW,BMW X3 xDrive20d,2018,180 000 km,1 995 cm3,Diesel,26 500
BMW,BMW 3,2023,26 818 km,1 995 cm3,Diesel,44 030
BMW,BMW X3,2006,224 942 km,1 995 cm3,Diesel,4 900
BMW,BMW 3,2006,180 000 km,1 995 cm3,Benzina,2 690
BMW,BMW X5,2019,170 710 km,2 993 cm3,Diesel,46 939
BMW,BMW 7,2023,19 000 km,2 993 cm3,Diesel,114 835
BMW,BMW X4 xDrive20d,2019,148 000 km,1 995 cm3,Diesel,38 900
BMW,BMW 3,2018,252 000 km,1 995 cm3,Diesel,15 000
BMW,BMW X5,2005,299 000 km,2 993 cm3,Diesel,6 499
BMW,BMW X3,2015,230 000 km,1 995 cm3,Diesel,17 950
BMW,BMW 4,2016,290 000 km,1 995 cm3,Diesel,19 000
BMW,BMW 5,2017,237 600 km,2 993 cm3,Diesel,26 900
BMW,BMW 7,2016,209 924 km,2 993 cm3,Diesel,32 700
BMW,BMW M3 M340i,2023,2 100 km,2 998 cm3,Benzina,66 200
BMW,BMW X5 xDrive30d,2011,282 000 km,2 993 cm3,Diesel,14 999
